03:41:06;100;7,28; snetio(bytes_sent=11064605236; bytes_recv=2505035010; packets_sent=18646663; packets_recv=19745862; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2766974976; free=28251885568; percent=8,9); sdiskio(read_count=97721; write_count=1087315; read_bytes=1365299200; write_bytes=22540112384; read_time=102548; write_time=3906836; read_merged_count=3; write_merged_count=1224547; busy_time=437104))
03:41:09;100;7,28; snetio(bytes_sent=11064606614; bytes_recv=2505036170; packets_sent=18646666; packets_recv=19745868; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2766979072; free=28251881472; percent=8,9); sdiskio(read_count=97721; write_count=1087315; read_bytes=1365299200; write_bytes=22540112384; read_time=102548; write_time=3906836; read_merged_count=3; write_merged_count=1224547; busy_time=437104))
03:41:12;100;7,28; snetio(bytes_sent=11064608788; bytes_recv=2505037268; packets_sent=18646679; packets_recv=19745884; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2766979072; free=28251881472; percent=8,9); sdiskio(read_count=97721; write_count=1087317; read_bytes=1365299200; write_bytes=22540141056; read_time=102548; write_time=3906836; read_merged_count=3; write_merged_count=1224552; busy_time=437104))
03:41:15;100;7,28; snetio(bytes_sent=11064611060; bytes_recv=2505039914; packets_sent=18646695; packets_recv=19745917; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2766979072; free=28251881472; percent=8,9); sdiskio(read_count=97721; write_count=1087317; read_bytes=1365299200; write_bytes=22540141056; read_time=102548; write_time=3906836; read_merged_count=3; write_merged_count=1224552; busy_time=437104))
03:41:18;100;9,13; snetio(bytes_sent=11064614878; bytes_recv=2505041770; packets_sent=18646723; packets_recv=19745946; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809573376; free=28209287168; percent=9,1); sdiskio(read_count=97721; write_count=1087319; read_bytes=1365299200; write_bytes=22540288512; read_time=102548; write_time=3906836; read_merged_count=3; write_merged_count=1224586; busy_time=437104))
03:41:21;0;9,13; snetio(bytes_sent=11064614996; bytes_recv=2505042244; packets_sent=18646724; packets_recv=19745954; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809573376; free=28209287168; percent=9,1); sdiskio(read_count=97721; write_count=1087319; read_bytes=1365299200; write_bytes=22540288512; read_time=102548; write_time=3906836; read_merged_count=3; write_merged_count=1224586; busy_time=437104))
03:41:25;100;9,03; snetio(bytes_sent=11064616428; bytes_recv=2505042700; packets_sent=18646728; packets_recv=19745961; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809573376; free=28209287168; percent=9,1); sdiskio(read_count=97721; write_count=1087321; read_bytes=1365299200; write_bytes=22540370432; read_time=102548; write_time=3906836; read_merged_count=3; write_merged_count=1224604; busy_time=437104))
03:41:28;0;9,03; snetio(bytes_sent=11064616604; bytes_recv=2505043162; packets_sent=18646730; packets_recv=19745969; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809573376; free=28209287168; percent=9,1); sdiskio(read_count=97721; write_count=1087321; read_bytes=1365299200; write_bytes=22540370432; read_time=102548; write_time=3906836; read_merged_count=3; write_merged_count=1224604; busy_time=437104))
03:41:31;100;9,03; snetio(bytes_sent=11064618050; bytes_recv=2505044190; packets_sent=18646734; packets_recv=19745986; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809573376; free=28209287168; percent=9,1); sdiskio(read_count=97721; write_count=1087323; read_bytes=1365299200; write_bytes=22540382720; read_time=102548; write_time=3906836; read_merged_count=3; write_merged_count=1224605; busy_time=437104))
03:41:34;100;9,03; snetio(bytes_sent=11064618798; bytes_recv=2505044724; packets_sent=18646736; packets_recv=19745995; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809573376; free=28209287168; percent=9,1); sdiskio(read_count=97721; write_count=1087323; read_bytes=1365299200; write_bytes=22540382720; read_time=102548; write_time=3906836; read_merged_count=3; write_merged_count=1224605; busy_time=437104))
03:41:37;100;9,03; snetio(bytes_sent=11064618970; bytes_recv=2505045000; packets_sent=18646738; packets_recv=19745999; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809577472; free=28209283072; percent=9,1); sdiskio(read_count=97721; write_count=1087325; read_bytes=1365299200; write_bytes=22540395008; read_time=102548; write_time=3906836; read_merged_count=3; write_merged_count=1224606; busy_time=437104))
03:41:40;100;9,03; snetio(bytes_sent=11064619866; bytes_recv=2505045442; packets_sent=18646742; packets_recv=19746006; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809577472; free=28209283072; percent=9,1); sdiskio(read_count=97721; write_count=1087325; read_bytes=1365299200; write_bytes=22540395008; read_time=102548; write_time=3906836; read_merged_count=3; write_merged_count=1224606; busy_time=437104))
03:41:43;100;9,03; snetio(bytes_sent=11064626174; bytes_recv=2505051242; packets_sent=18646769; packets_recv=19746044; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809581568; free=28209278976; percent=9,1); sdiskio(read_count=97721; write_count=1087328; read_bytes=1365299200; write_bytes=22540431872; read_time=102548; write_time=3906836; read_merged_count=3; write_merged_count=1224611; busy_time=437104))
03:41:46;100;9,03; snetio(bytes_sent=11064626976; bytes_recv=2505051758; packets_sent=18646772; packets_recv=19746052; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809581568; free=28209278976; percent=9,1); sdiskio(read_count=97721; write_count=1087328; read_bytes=1365299200; write_bytes=22540431872; read_time=102548; write_time=3906836; read_merged_count=3; write_merged_count=1224611; busy_time=437104))
03:41:49;100;9,03; snetio(bytes_sent=11064627094; bytes_recv=2505052232; packets_sent=18646773; packets_recv=19746060; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809581568; free=28209278976; percent=9,1); sdiskio(read_count=97721; write_count=1087457; read_bytes=1365299200; write_bytes=22572859904; read_time=102548; write_time=3908964; read_merged_count=3; write_merged_count=1224638; busy_time=437352))
03:41:52;100;9,08; snetio(bytes_sent=11064627842; bytes_recv=2505052946; packets_sent=18646775; packets_recv=19746072; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809581568; free=28209278976; percent=9,1); sdiskio(read_count=97721; write_count=1087457; read_bytes=1365299200; write_bytes=22572859904; read_time=102548; write_time=3908964; read_merged_count=3; write_merged_count=1224638; busy_time=437352))
