('01:18:58', 0.0, 6.77, snetio(bytes_sent=10277758088, bytes_recv=2434263241, packets_sent=17047601, packets_recv=18939758, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3015614464, free=28003246080, percent=9.7), sdiskio(read_count=69333, write_count=1020009, read_bytes=1066131968, write_bytes=21073875456, read_time=76752, write_time=3751412, read_merged_count=0, write_merged_count=1051186, busy_time=421744))
('01:19:01', 100.0, 6.82, snetio(bytes_sent=10277759588, bytes_recv=2434264005, packets_sent=17047606, packets_recv=18939770, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3015618560, free=28003241984, percent=9.7), sdiskio(read_count=69333, write_count=1020009, read_bytes=1066131968, write_bytes=21073875456, read_time=76752, write_time=3751412, read_merged_count=0, write_merged_count=1051186, busy_time=421744))
('01:19:04', 100.0, 6.77, snetio(bytes_sent=10277763060, bytes_recv=2434266721, packets_sent=17047630, packets_recv=18939804, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3015618560, free=28003241984, percent=9.7), sdiskio(read_count=69333, write_count=1020011, read_bytes=1066131968, write_bytes=21073904128, read_time=76752, write_time=3751412, read_merged_count=0, write_merged_count=1051191, busy_time=421744))
('01:19:07', 0.0, 6.77, snetio(bytes_sent=10277765148, bytes_recv=2434269099, packets_sent=17047644, packets_recv=18939834, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3015618560, free=28003241984, percent=9.7), sdiskio(read_count=69333, write_count=1020011, read_bytes=1066131968, write_bytes=21073904128, read_time=76752, write_time=3751412, read_merged_count=0, write_merged_count=1051191, busy_time=421744))
('01:19:10', 0.0, 8.63, snetio(bytes_sent=10277768390, bytes_recv=2434270835, packets_sent=17047672, packets_recv=18939861, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058216960, free=27960643584, percent=9.9), sdiskio(read_count=69333, write_count=1020013, read_bytes=1066131968, write_bytes=21074092544, read_time=76752, write_time=3751412, read_merged_count=0, write_merged_count=1051235, busy_time=421744))
('01:19:13', 100.0, 8.63, snetio(bytes_sent=10277769822, bytes_recv=2434271411, packets_sent=17047676, packets_recv=18939870, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058216960, free=27960643584, percent=9.9), sdiskio(read_count=69333, write_count=1020013, read_bytes=1066131968, write_bytes=21074092544, read_time=76752, write_time=3751412, read_merged_count=0, write_merged_count=1051235, busy_time=421744))
('01:19:16', 0.0, 8.48, snetio(bytes_sent=10277769940, bytes_recv=2434272287, packets_sent=17047677, packets_recv=18939880, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058216960, free=27960643584, percent=9.9), sdiskio(read_count=69333, write_count=1020015, read_bytes=1066131968, write_bytes=21074162176, read_time=76752, write_time=3751420, read_merged_count=0, write_merged_count=1051250, busy_time=421744))
('01:19:19', 100.0, 8.48, snetio(bytes_sent=10277771372, bytes_recv=2434272803, packets_sent=17047681, packets_recv=18939888, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058216960, free=27960643584, percent=9.9), sdiskio(read_count=69333, write_count=1020015, read_bytes=1066131968, write_bytes=21074162176, read_time=76752, write_time=3751420, read_merged_count=0, write_merged_count=1051250, busy_time=421744))
('01:19:22', 100.0, 8.48, snetio(bytes_sent=10277772174, bytes_recv=2434273155, packets_sent=17047684, packets_recv=18939894, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058216960, free=27960643584, percent=9.9), sdiskio(read_count=69333, write_count=1020017, read_bytes=1066131968, write_bytes=21074174464, read_time=76752, write_time=3751420, read_merged_count=0, write_merged_count=1051251, busy_time=421744))
('01:19:25', 100.0, 8.48, snetio(bytes_sent=10277772922, bytes_recv=2434273449, packets_sent=17047686, packets_recv=18939899, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058216960, free=27960643584, percent=9.9), sdiskio(read_count=69333, write_count=1020017, read_bytes=1066131968, write_bytes=21074174464, read_time=76752, write_time=3751420, read_merged_count=0, write_merged_count=1051251, busy_time=421744))
('01:19:28', 100.0, 8.48, snetio(bytes_sent=10277773670, bytes_recv=2434273683, packets_sent=17047688, packets_recv=18939903, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058221056, free=27960639488, percent=9.9), sdiskio(read_count=69333, write_count=1020019, read_bytes=1066131968, write_bytes=21074186752, read_time=76752, write_time=3751420, read_merged_count=0, write_merged_count=1051252, busy_time=421744))
('01:19:31', 0.0, 8.48, snetio(bytes_sent=10277773856, bytes_recv=2434274471, packets_sent=17047690, packets_recv=18939916, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058221056, free=27960639488, percent=9.9), sdiskio(read_count=69333, write_count=1020019, read_bytes=1066131968, write_bytes=21074186752, read_time=76752, write_time=3751420, read_merged_count=0, write_merged_count=1051252, busy_time=421744))
